2   O=C(N1[C@@H](CCC1)C(=O)NNC(=O)N)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]1NC(=O)CC1)Cc1[nH]cnc1)Cc1c2c([nH]c1)cccc2)CO)Cc1ccc(O)cc1)COC(C)(C)C)CC(C)C)CCCN=C(N)N	[NO NAME]
467   CO[C@H]1C[C@@H](O[C@@H](C)[C@@H]1O)O[C@H]1[C@H](C)O[C@H](C[C@@H]1OC)O[C@H]1[C@@H](C)/C=C/C=C/2\CO[C@@H]3[C@H](O)C(=C[C@@H](C(=O)O[C@H]4C[C@@H](C/C=C/1\C)O[C@@]1(CC[C@H](C)[C@H](O1)C(C)C)C4)[C@]23O)C.CC[C@@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)/[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C/3\CO[C@@H]4[C@H](O)C(=C[C@@H](C(=O)O1)[C@]34O)C)O2	

469   c1(C(=O)N[C@H]2[C@H](CN(CC2)CCCOc2ccc(F)cc2)OC)c(cc(c(c1)Cl)N)OC	

471   Clc1cc2NC(NS(=O)(=O)c2cc1S(=O)(=O)N)C1C2CC(C1)C=C2	606

473   Clc1cc2nccc(NC(CCCN(CC)CC)C)c2cc1	608

478   Clc1cc2nccc(Nc3cc(CN(CC)CC)c(O)cc3)c2cc1	613

482   C(=O)(C1=C([C@@H](N(C)C)[C@H]2[C@](C(=C3[C@H](C2)[C@@H](c2c(C3=O)c(ccc2Cl)O)O)O)(C1=O)O)O)N	

489   Clc1cc2[C@@](OC(=O)Nc2cc1)(C#CC1CC1)C(F)(F)F	625

492   Clc1cc2C(=NC(C(=O)Nc2cc1)C(=O)O)c1ccccc1	628

493   Clc1c(c(Cl)ccc1)C=NN=C(N)N	629

494   P(=O)(O)(O)C(P(=O)(O)O)(O)CCCN	630

495   Clc1nc2n([C@@H]3O[C@@H]([C@@H](O)[C@@H]3F)CO)cnc2c(n1)N	631

500   Clc1ccc(OC(C)(C)C(=O)OCC)cc1	636

